address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,detec_date,gross_loss,indirect_loss,net_loss,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Estrada Da Luz 169 A/b Lisbon,BANCO SANTANDER TOTTA,ST48,-9.17621,38.75493,Carnide,10,452.658926,979.390928655,54,28.4366,32,7,18,2012-11-05 00:00:00,2012-11-05 15:00:00,550,0,550,1,1,5,4,2,2,2,1
Rua De Pedroucos Lisbon,BANCO SANTANDER TOTTA,ST63,-9.22037,38.69637,Belém,6,630.124693568,1287.58626619,46,19.8349,46,15,9,2011-10-19 02:00:00,2011-10-19 02:10:00,16000,0,0,1,1,4,3,3,4,2,1
Rua Professor Joao Barreira 5 B Lisbon,BARCLAYS BANK,BB01,-9.17085,38.76104,Lumiar,12,405.830976015,550.797357908,52,10.6231,34,9,9,,,0,0,0,0,0,5,2,2,2,2,0
Rua Vale Formoso De Cima 154 C Lisbon,BARCLAYS BANK,BB02,-9.10434,38.74944,Marvila,13,2668.50328648,732.929195841,26,16.5529,51,20,9,,,0,0,0,0,0,2,3,4,5,2,0
Avenida Doutor Francisco Luis Gomes Lisbon,BARCLAYS BANK,BB03,-9.11006,38.77049,Olivais,15,1232.48768837,957.410367736,28,6.8522,26,18,9,,,0,0,0,0,0,2,2,1,4,2,0
Avenida Ilha Da Madeira 36 a Lisbon,BARCLAYS BANK,BB04,-9.20806,38.70679,Belém,6,1262.26254651,851.958984258,34,20.9547,52,14,9,,,0,0,0,0,0,3,3,4,4,2,0
Rua Escola Politecnica 111 Lisbon,BARCLAYS BANK,BB05,-9.1513,38.71756,Campo de Ourique,8,1978.32141693,504.032029393,46,13.918,45,7,18,,,0,0,0,0,0,4,2,3,2,2,0
Avenida Da Republica 2 B Lisbon,BARCLAYS BANK,BB06,-9.14465,38.73452,Avenidas Novas,5,2065.90320511,353.281293443,40,3.6254,47,13,18,,,0,0,0,0,0,4,1,3,3,2,0
Avenida De Roma 6 E Lisbon,BARCLAYS BANK,BB08,-9.13789,38.74231,Avenidas Novas,5,2338.19773594,698.305732461,64,14.7613,44,2,37,,,0,0,0,0,0,6,2,3,1,4,0
Rua Carlos Alberto Da Mota Pinto 3 Lisbon,BARCLAYS BANK,BB09,-9.16055,38.72383,Santo Antonio,19,1104.05312926,503.767031661,48,11.423,54,12,28,,,0,0,0,0,0,5,2,4,3,4,0
Avenida Infante Santo 70 C Lisbon,BARCLAYS BANK,BB10,-9.16477,38.71022,Campo de Ourique,8,1141.36798572,362.394695044,48,18.4505,50,12,18,,,0,0,0,0,0,5,3,4,3,2,0
Praca Marques De Pombal 13 Lisbon,BARCLAYS BANK,BB11,-9.14909,38.72582,Santo Antonio,19,2122.83318547,152.337890837,70,0.0,55,3,18,,,0,0,0,0,0,6,1,4,1,2,0
Alameda Das Linhas De Torres 111a Lisbon,BARCLAYS BANK,BB13,-9.15728,38.76463,Lumiar,12,707.474603697,694.281535913,42,6.5668,28,12,9,,,0,0,0,0,0,4,2,1,3,2,0
Avenida Fontes Pereira De Melo 16 Lisbon,BARCLAYS BANK,BB14,-9.14761,38.72942,Avenidas Novas,5,2218.50629586,107.090370978,54,12.9924,53,9,28,,,0,0,0,0,0,5,2,4,2,4,0
Avenida Colegio Militar 37-F Lisbon,BARCLAYS BANK,BB15,-9.1877,38.75377,Carnide,10,160.548983056,152.839757398,36,0.0,25,11,20,,,0,0,0,0,0,3,1,1,3,3,0
Avenida 5 De Outubro 73 Lisbon,BARCLAYS BANK,BB17,-9.14771,38.73614,Avenidas Novas,5,1745.2424985,441.384229785,40,17.8596,47,12,18,,,0,0,0,0,0,4,3,3,3,2,0
Avenida Dom Joao Ii 1.14.02C Lisbon,BARCLAYS BANK,BB18,-9.09822,38.76605,Parque das Na,16,2293.1272471,981.1890764,50,0.1282,36,8,47,,,0,0,0,0,0,5,1,2,2,5,0
Avenida Da Igreja 20 Lisbon,BARCLAYS BANK,BB19,-9.14166,38.75404,Alvalade,2,1016.86483974,657.032022144,60,15.4405,35,7,37,,,0,0,0,0,0,6,2,2,2,4,0
Rua Sao Marcal 78-80 Lisbon,BARCLAYS BANK,BB20,-9.15093,38.71479,Estrela,11,2114.73436556,461.465107525,48,25.8703,49,8,18,,,0,0,0,0,0,5,3,4,2,2,0
Avenida Colegio Militar 37-F Lisbon,BARCLAYS BANK,BB21,-9.1877,38.75377,Carnide,10,160.548983056,152.839757398,36,0.0,25,11,20,,,0,0,0,0,0,3,1,1,3,3,0
